cms_item_id,slug,source_url,status,source_body,source_comment_url,media_url,short_summary,key_takeaways,notes
6a1715fa3c5212a274004186,gowns-drapes-disruption,https://www.linkedin.com/feed/update/urn:li:activity:7426637261582229504/,cms-updated-published,,,,Sterile surgical gown and drape supply is seeing disruption from recalls distributor allocations and raw material constraints.,Plan substitution demand; compare AAMI Level 3 alternatives; use Risk Radar and sourcing support,Resiliency report alert
6a17161b3c5212a2740059bc,bair-hugger-backorders,https://www.linkedin.com/feed/update/urn:li:activity:7435742470329602050/,cms-updated-published,,,,Bair Hugger warming blanket allocations are creating proprietary consumable risk for operating rooms.,Treat proprietary dependency as operational risk; diversify warming platforms; use real-time availability checks,Resiliency report alert
6a17161b3c5212a2740059be,iv-sets-allocation,https://www.linkedin.com/feed/update/urn:li:activity:7437497595683467265/,cms-updated-published,,,,Baxter IV administration set allocations are constraining ClearLink and Continu-Flo product lines.,Protect constrained tubing; build secondary platform coverage; monitor constrained categories,Resiliency report alert
6a17161b3c5212a2740059c0,stryker-cyberattack,https://www.linkedin.com/feed/update/urn:li:activity:7437913534518370304/,cms-updated-published,,,,Stryker ordering disruption is creating supply continuity risk for health systems relying on Stryker products.,Review on-hand materials; monitor exposed products; evaluate secondary supplier options,Resiliency report alert
6a17161b3c5212a2740059c2,avagard-shortage,https://www.linkedin.com/feed/update/urn:li:activity:7440080268977287168/,cms-updated-published,,,,Extended rolling backorders on Avagard surgical hand antiseptics are tied to upstream chemical disruption and constrained capacity.,Track allocations; prepare CHG bridge protocols; keep multiple antiseptics on formulary,Resiliency report alert
6a17161b3c5212a2740059c4,nbr-medical-supplies,https://www.linkedin.com/feed/update/urn:li:activity:7446952674010230785/,cms-updated-published,,,,Conflict-driven polymer input volatility may pressure gloves PPE syringes IV bags and wound care.,Monitor polymer-dependent consumables; build secondary sourcing paths; use Risk Radar and availability checks,Resiliency report alert
6a17161b3c5212a2740059c6,capstone-partnership,https://www.linkedin.com/feed/update/urn:li:activity:7449491715146797056/,cms-updated-published,,,,Partnership with Capstone Health Alliance supports supply chain resiliency and care continuity.,Cato and Capstone partnership; best practices and sourcing initiatives; procurement platform access,News announcement
6a17161b3c5212a2740059c8,neurosponges-disruption,https://www.linkedin.com/feed/update/urn:li:activity:7455624545329250304/,cms-updated-published,,,,Neuro sponge and neuro strip constraints are tightening after recall activity and allocation pressure.,Map affected SKUs; use alternative suppliers; trial small purchase orders,Resiliency report alert
6a17161b3c5212a2740059ca,nasal-oral-ett-backorders,https://www.linkedin.com/feed/update/urn:li:activity:7457814325307686912/,cms-updated-published,,,,Nasal and oral/nasal ETT allocation pressure is concentrated in pediatric and small adult sizes.,Pre-approve substitutes; validate securement compatibility; track pediatric and small adult sizes,Resiliency report alert
6a17161b3c5212a2740059cc,vascular-angiographic-dialysis-kits-shortages,https://www.linkedin.com/feed/update/urn:li:activity:7460381663164846080/,cms-updated-published,,,,Procedure kit backorders are being driven by recalls and quarantines across critical bundled components.,Map affected kits; evaluate equivalents; use secondary channels,Resiliency report alert
